अ	a
इ ं त ज ा र	i N t j aa r
इ ं त ज़ ा र	i N t jq aa r
इ त न ा	i t n aa
इ त न ी	i t n ii
इ त न े	i t n ee
इ त ि ह ा स	i t i h aa s
इ ं त े ज़ ा र	i N t ee jq aa r
इ त ् र	i t r
इ थ ू न	i th uu n
इ थ े	i th ee
इ ं द ा प ू र	i N d aa p uu r
इ ं द ू र	i N d uu r
इ ं द ो र	i N d o r
इ ं द ् र	i N d r
इ ं द ् र क ा ं त	i N d r k aa N t
इ ं द ् र ा य ण ी	i N d r aa y a nx ii
इ ध र	i dh a r
इ ध र उ ध र	i dh r a u dh a r
इ न	i n
इ न क ा	i n k aa
इ न क ी	i n k ii
इ न क े	i n k ee
इ न क ् र े ड ि ब ल	i n a k r ee dx i b a l
इ न ब ॉ क ् स	i n a b ax k s
इ न र	i n a r
इ न व े स ् क ो	i n a w ee s k o
इ न ा ई	i n aa ii
इ न ा म	i n aa m
इ न ् क म	i n k a m
इ न ् त ज़ ा र	i n t jq aa r
इ न ् फ ो	i n ph o
इ न ् फ ो स ि स	i n ph o s i s
इ न ् फ ् र ा	i n ph r aa
इ न ् फ ् र ा ट े ल	i n ph r aa tx ee l
इ न ् फ ् र ा स ् ट ् र क ् च र	i n ph r aa s tx r a k c a r
इ न ् व े स ् ट	i n w ee s tx
इ न ् व े स ् ट म े ं ट	i n w ee s tx a m ee N tx
इ न ् व े स ् ट े क	i n w ee s tx ee k
इ न ् श ु र न ् स	i n sh u r a n s
इ न ् श ु र न ् स च े	i n sh u r a n s a c ee
इ न ् श ु र ं स	i n sh u r a N s
इ न ् स ा न	i n s aa n
इ न ् ह ी ं	i n h ii N
इ न ् ह े ं	i n h ee N
इ ं प ी र ि य ल	i N p ii r i y a l
इ फ ़ े क ् ट	i phq ee k tx
इ ं फ ् र ा	i N ph r aa
इ म ल ी	i m l ii
इ म ा म ी	i m aa m ii
इ म ा र त	i m aa r a t
इ म ा र त ो ं	i m aa r t o N
इ म े ज	i m ee j
इ म ् त ह ा न	i m t h aa n
इ य र	i y a r
इ र ा ण ी	i r aa nx ii
इ र ा द ा	i r aa d aa
इ र ा द े	i r aa d ee
इ ल ा क े	i l aa k ee
इ ल ा ज	i l aa j
इ ल ा य च ी	i l aa y c ii
इ ल ा ह ा ब ा द	i l aa h aa b aa d
इ ल े क ् ट ् र ि क	i l ee k tx r i k
इ ल े क ् ट ् र ि क ल ् स	i l ee k tx r i k a l s
इ ल े क ् ट ् र ि श ि य न	i l ee k tx r i sh i y a n
इ ल े क ् ट ् र ॉ न	i l ee k tx r ax n
इ ल े क ् ट ् र ॉ न ि क ् स	i l ee k tx r ax n i k s
इ ल े क ् ट ् र ॉ न ि क ् स ल ा	i l ee k tx r ax n i k s a l aa
इ ल े क ् ट ् र ॉ न ो ं	i l ee k tx r ax n o N
इ व े ं ट	i w ee N tx
इ व ् ह े ं ट च ी	i w h ee N tx a c ii
इ श ा र ा	i sh aa r aa
इ श ा र े	i sh aa r ee
इ स	i s
इ स क ा	i s k aa
इ स क ी	i s k ii
इ स क े	i s k ee
इ स क ो	i s k o
इ स न े	i s n ee
इ स म े ं	i s m ee N
इ स ल ि ए	i s l i ee
इ स स े	i s s ee
इ ं स ा न	i N s aa n
इ ं स ा न ो ं	i N s aa n o N
इ स ी	i s ii
इ स ी ल ि ए	i s ii l i ee
इ स े	i s ee
इ ं स ् ट ी ट ् य ू ट	i N s tx ii tx y uu tx
इ ं स ् ट ॉ ल	i N s tx ax l
इ ं स ् ट ् र क ् श न	i N s tx r k sh a n
इ स ् त े म ा ल	i s t ee m aa l
इ स ् र ा इ ल	i s r aa i l
इ स ् ल ा म	i s l aa m
ई ए स प ी ए न	ii ee s a p ii ee n
ई ट	ii tx
ई द	ii d
ई द उ ल ज ु ह ा	ii d a u l a j u h aa
ई द ग ा ह	ii d g aa h
ई ब झ	ii b a jh
ई म ा न	ii m aa n
ई म ा न द ा र	ii m aa n d aa r
ई म ा न द ा र ी	ii m aa n d aa r ii
ई म े ल	ii m ee l
ई य र	ii y a r
ई श ् व र	ii sh w a r
ई श ् व र ी य	ii sh w r ii y
ई स ् ट र	ii s tx a r
ई स ् ट र ् न	ii s tx a r n
उ क ड ी च ् य ा	u k a dx ii c y aa
उ क ् ष ी	u k sx ii
उ ख ड ़	u kh a dxq
उ ग ड ी	u g a dx ii
उ ग त े	u g t ee
उ ग ल त ा	u g l a t aa
उ ँ ग ल ि य ा ँ	u mq g l i y aa mq
उ ं ग ल ि य ा ँ	u N g l i y aa mq
उ ँ ग ल ि य ो ं	u mq g l i y o N
उ ं ग ल ि य ो ं	u N g l i y o N
उ ग ा	u g aa
उ घ ड	u gh a dx
उ घ ड त े	u gh a dx a t ee
उ च क ा घ ु म ा क र	u c k aa gh u m aa k a r
उ च ि त	u c i t
उ च ् च	u c c
उ च ् च स ौ ध	u c c s ou dh
उ च ् छ ् व स ि त	u c ch w s i t
उ छ ल	u ch a l
उ छ ल त ा	u ch l a t aa
उ छ ल त े क ू द त े	u ch l a t ee k uu d t ee
उ छ ल ी	u ch l ii
उ छ ा ल त ी	u ch aa l t ii
उ ज ल ा	u j l aa
उ ज ल ी	u j l ii
उ ज ा ल ा	u j aa l aa
उ ज ् ज व ल	u j j w a l
उ ज ् ज ै न	u j j ai n
उ ज ् ज ् व ल	u j j w a l
उ ज ् र	u j r
उ झ ब े क ि स ् त ा न	u jh a b ee k i s t aa n
उ ट ा ह ा	u tx aa h aa
उ ठ	u txh
उ ठ त ा	u txh t aa
उ ठ त ी	u txh t ii
उ ठ त े	u txh t ee
उ ठ न े	u txh n ee
उ ठ व ा	u txh w aa
उ ठ ा	u txh aa
उ ठ ा ई	u txh aa ii
उ ठ ा क र	u txh aa k a r
उ ठ ा क े	u txh aa k ee
उ ठ ा न े	u txh aa n ee
उ ठ ा य ा	u txh aa y aa
उ ठ ा य े ं	u txh aa y ee N
उ ठ ी	u txh ii
उ ठ े	u txh ee
उ ठ े ं ग ी	u txh ee N g ii
उ ड ़	u dxq
उ ड़	u dxq
उ ं ड ण ग ा ं व	u N dx a nx a g aa N w
उ ड़ त ी	u dxq t ii
उ ड ़ न ा	u dxq n aa
उ ड़ न ा	u dxq n aa
उ ड़ ा ए	u dxq aa ee
उ ड़ ा त ा	u dxq aa t aa
उ ड ़ ा त े	u dxq aa t ee
उ ड़ ा न	u dxq aa n
उ ड़ ा न े	u dxq aa n ee
उ ड ़ ा य ा	u dxq aa y aa
उ ड ़ ा य े ं ग े	u dxq aa y ee N g ee
उ ड ु प ी	u dx u p ii
उ ड ़ े ल	u dxq ee l
उ त न ा	u t n aa
उ त न ी	u t n ii
उ त न े	u t n ee
उ त र	u t a r
उ त र त ी ं	u t r a t ii N
उ त र न े	u t r a n ee
उ त र ा	u t r aa
उ त र ू	u t a r uu
उ त र े	u t r ee
उ त ा र	u t aa r
उ त ा र त ी	u t aa r t ii
उ त ा र न े	u t aa r n ee
उ त ा र ा	u t aa r aa
उ त ा र े	u t aa r ee
उ त ् क ृ ष ् ट	u t k rq sx tx
उ त ् त म	u t t a m
उ त ् त र	u t t a r
उ त ् त र क ा श ी	u t t a r a k aa sh ii
उ त ् त र द ा य ि त ् व	u t t r a d aa y i t w
उ त ् त र प श ् च ि म ी	u t t r a p a sh c i m ii
उ त ् त र प ् र द े श	u t t r a p r a d ee sh
उ त ् त र ा ख ं ड	u t t a r aa kh a N dx
उ त ् त ी र ् ण	u t t ii r nx
उ त ् प ा द क	u t p aa d a k
उ त ् प ा द न	u t p aa d a n
उ त ् स व	u t s a w
उ त ् स व ा च ी	u t s a w aa c ii
उ त ् स ा ह	u t s aa h
उ त ् स ा ह ी	u t s aa h ii
उ त ् स ु क	u t s u k
उ त ् स ु क त ा	u t s u k t aa
उ थ ल ा	u th l aa
उ द ग ी र	u d a g ii r
उ द य प ु र	u d a y a p u r
उ द ा र त ा	u d aa r t aa
उ द ा स	u d aa s
उ द ा स ी न	u d aa s ii n
उ द ा ह र ण	u d aa h r a nx
उ द ि त	u d i t
उ द ् द ं ड	u d d a N dx
उ द ् द े श ् य	u d d ee sh y
उ द ् ध ा र	u d dh aa r
उ द ् य ा	u d y aa
उ द ् य ा च ं	u d y aa c a N
उ द ् य ो ग	u d y o g
उ द ् व े ल ि त	u d w ee l i t
उ ध म स ि ं ग	u dh a m a s i N g
उ ध र	u dh a r
उ ध ा र	u dh aa r
उ ध े ड ़ ब ु न	u dh ee dxq b u n
उ न	u n
उ न क ा	u n k aa
उ न क ी	u n k ii
उ न क े	u n k ee
उ न क ो	u n k o
उ न म े ं	u n m ee N
उ न स े	u n s ee
उ न ा	u n aa
उ न ् न त ि	u n n t i
उ न ् न ा व	u n n aa w
उ न ् म त ् त	u n m a t t
उ न ् म ल ि न	u n m l i n
उ न ् म ा द	u n m aa d
उ न ् म ा द ि न ी स ी	u n m aa d i n ii s ii
उ न ् ह ी	u n h ii
उ न ् ह ी ं	u n h ii N
उ न ् ह े ं	u n h ee N
उ न ् ह ो ं न े	u n h o N n ee
उ न ् ह ो ं न े ं	u n h o N n ee N
उ प क ा र	u p k aa r
उ प क ू ल	u p k uu l
उ प क ् र म	u p k r a m
उ प ज त े ं	u p j a t ee N
उ प ज ा ऊ	u p j aa uu
उ प म ा	u p m aa
उ प र ा ं त	u p r aa N t
उ प ल ब ् ध	u p a l a b dh
उ प ल ो ं	u p l o N
उ प व ा स	u p w aa s
उ प स ् थ ि त	u p s th i t
उ प ह ा र	u p h aa r
उ प ा य	u p aa y
उ प ा स क	u p aa s a k
उ प े क ् ष ा	u p ee k sx aa
उ ब र	u b a r
उ ं ब र म ा ळ ी	u N b a r a m aa lx ii
उ ब ल ी	u b l ii
उ ब ा ऊ	u b aa uu
उ म ं ग	u m a N g
उ म ड़	u m a dxq
उ म स	u m a s
उ म ् म ी द	u m m ii d
उ म ् म ी द े ं	u m m ii d ee N
उ म ् म ी द ो ं	u m m ii d o N
उ म ् र	u m r
उ र ण	u r a nx
उ र त ा त	u r a t aa t
उ र त ी ल	u r a t ii l
उ र ल े	u r a l ee
उ र ू स	u r uu s
उ र ् म ी	u r m ii
उ ल	u l
उ ल झ क र	u l jh a k a r
उ ल ट	u l a tx
उ ल ट प ल ट	u l tx a p a l a tx
उ ल ट ा प ल ट ा	u l tx aa p a l tx aa
उ ल ् ल ू	u l l uu
उ ल ् ह ा स	u l h aa s
उ ल ् ह ा स न ग र	u l h aa s a n a g a r
उ ष ा	u sx aa
उ ष ् ण त ा	u sx nx a t aa
उ स	u s
उ स क ा	u s k aa
उ स क ी	u s k ii
उ स क े	u s k ee
उ स क ो	u s k o
उ स न े	u s n ee
उ स म े ं	u s m ee N
उ स स े	u s s ee
उ स ी	u s ii
उ स ी न े	u s ii n ee
उ स े	u s ee
उ स ् त ा द	u s t aa d
उ स ् म ा न ा ब ा द	u s m aa n aa b aa d
ऊ ँ ग ल ि य ा ँ	uu mq g l i y aa mq
ऊ ँ ग ल ी	uu mq g l ii
ऊ ँ घ त े	uu mq gh t ee
ऊ ँ च ा	uu mq c aa
ऊ ँ च ी	uu mq c ii
ऊ ँ च े	uu mq c ee
ऊ ँ ट	uu mq tx
ऊ ं ट	uu N tx
ऊ ट ी	uu tx ii
ऊ ँ ट ो ं	uu mq tx o N
ऊ ध म	uu dh a m
ऊ न	uu n
ऊ प र	uu p a r
ऊ प र न ी च े	uu p r a n ii c ee
ऊ प र ी	uu p r ii
ऊ ब	uu b
ऊ ब े	uu b ee
ऊ र ु स	uu r u s
ऊ र ् ज ा	uu r j aa
ऊ स र	uu s a r
ऋ ण	rq a nx
ऋ ण ा न ु ब ं ध ा च ् य ा	rq a nx aa n u b a N dh aa c y aa
ऋ ण ी	rq a nx ii
ऋ त ु	rq a t u
ऋ ष ि	rq a sx i
ऋ ष ी	rq a sx ii
ॠ ण	rrq nx
ॠ ण ा त ् म क	rrq nx aa t m a k
ॠ त ु	rrq t u
ए	ee
ए अ र	ee a r
ए अ र ट े ल	ee a r a tx ee l
ए अ र प ो र ् ट	ee a r a p o r tx
ए अ र ल ा इ न ् स	ee a r a l aa i n s
ए अ र व े ज	ee a r a w ee j
ए अ र स े ल	ee a r a s ee l
ए ए म स ी	ee ee m a s ii
ए क	ee k
ए क आ ध	ee k a aa dh
ए क ए क	ee k a ee k
ए क ज ु ट	ee k j u tx
ए क ट क	ee k tx a k
ए क त ् र	ee k a t r
ए क द म	ee k d a m
ए क द ि व स ी य	ee k a d i w a s ii y
ए क द ू स र े	ee k d uu s a r ee
ए क द ो	ee k d o
ए क ब ा र ग ी	ee k b aa r a g ii
ए क म ु ख ी	ee k a m u kh ii
ए क व ि र ा	ee k a w i r aa
ए क श े	ee k a sh ee
ए क स ष ् ट	ee k a s a sx tx
ए क ा ए क	ee k aa ee k
ए क ा ं त	ee k aa N t
ए क ा त ् म त ा	ee k aa t m a t aa
ए क ा द श ी	ee k aa d a sh ii
ए क ा व न ् न	ee k aa w a n n
ए क ा ह त ् त र	ee k aa h a t t a r
ए क ो ण च ा ळ ी स	ee k o nx a c aa lx ii s
ए क ो ण प न ् न ा स	ee k o nx a p a n n aa s
ए क ो ण स त ् त र	ee k o nx a s a t t a r
ए क ो ण ी स	ee k o nx ii s
ए क ो ण ी स श े	ee k o nx ii s a sh ee
ए क ् ट	ee k tx
ए क ् य ा ण ् ण व	ee k y aa nx nx a w
ए क ् स च े ं ज	ee k s a c ee N j
ए क ् स प ो र ् ट ् स	ee k s a p o r tx s
ए क ् स प ् र े स	ee k s a p r ee s
ए क ् स प ् र े स	ee k s p r ee s
ए क ् स र े	ee k s a r ee
ए क ् स ा इ ड	ee k s aa i dx
ए क ् स े ल	ee k s ee l
ए क ् स ् प ् र े स	ee k s p r ee s
ए ग ् झ ि ट	ee g jh i tx
ए च ड ी ए फ स ी	ee c a dx ii ee ph a s ii
ए च ब ी ए ल	ee c a b ii ee l
ए ं ज ि ल ् स	ee N j i l s
ए ज े ं स ी	ee j ee N s ii
ए ज ् य ु क े श न ल	ee j y u k ee sh a n a l
ए ं ट र	ee N tx a r
ए ं ट र प ् र ा इ ज	ee N tx a r a p r aa i j
ए ं ट र प ् र ा इ स	ee N tx a r a p r aa i s
ए ट ा	ee tx aa
ए ड	ee dx
ए ं ड	ee N dx
ए ड ि ट	ee dx i tx
ए ं ड ् र य ू	ee N dx r a y uu
ए न	ee n
ए न आ य आ य ट ी	ee n a aa y a aa y a tx ii
ए न ए च प ी स ी	ee n a ee c a p ii s ii
ए न ए म ड ी स ी	ee n a ee m a dx ii s ii
ए न ज ी ए ल	ee n a j ii ee l
ए न ड ी ट ी व ् ह ी	ee n a dx ii tx ii w h ii
ए न ड ी ड ी ब ी	ee n dx ii dx ii b ii
ए न ड ी स ी स ी	ee n a dx ii s ii s ii
ए न फ ी ल ् ड	ee n a ph ii l dx
ए न र ् ज ी	ee n a r j ii
ए न ि म ल	ee n i m a l
ए प ी ए म	ee p ii ee m
ए ं प ो र ि य म	ee N p o r i y a m
ए ब ी ब ी	ee b ii b ii
ए ब ी स ी	ee b ii s ii
ए ं ब ् र ॉ य ड र ी	ee N b r ax y dx a r ii
ए म आ र ए फ	ee m a aa r a ee ph
ए म ए	ee m a ee
ए म ट ी ए न ए ल	ee m a tx ii ee n a ee l
ए म ् प ो र ि य म	ee m p o r i y a m
ए म ् ब ु ल े न ् स	ee m b u l ee n s
ए य ू	ee y uu
ए र ि य ल	ee r i y a l
ए र ि य ा	ee r i y aa
ए र ो ड	ee r o dx
ए र ् न ा क ु ल म	ee r n aa k u l a m
ए ल	ee l
ए ल आ य स ी	ee l a aa y a s ii
ए ल ट ी ट ी	ee l a tx ii tx ii
ए ल ा न	ee l aa n
ए ल ि ज ा	ee l i j aa
ए ल ि फ ं ट ा	ee l i ph a N tx aa
ए ल ि य ा ं ज	ee l i y aa N j
ए ल ु र ू	ee l u r uu
ए ल े न	ee l ee n
ए ल ् ड े क ो	ee l dx ee k o
ए व ं	ee w a N
ए व ् ह र े स ् ट	ee w h a r ee s tx
ए श ि य न	ee sh i y a n
ए स	ee s
ए स आ र ए स	ee s a aa r a ee s
ए स ए ए स	ee s a ee ee s
ए स ए म ए स	ee s a ee m a ee s
ए स ए ल	ee s a ee l
ए स ओ ट ी स ी	ee s a o tx ii s ii
ए स ट ी स ी	ee s a tx ii s ii
ए स प ी ए स	ee s a p ii ee s
ए स प ी ज ी	ee s a p ii j ii
ए स ब ी आ य	ee s a b ii aa y
ए स य ू	ee s a y uu
ए स र	ee s a r
ए स ी	ee s ii
ए स ी स ी	ee s ii s ii
ए स ् ट े ट ् स	ee s tx ee tx s
ए ह स ा न	ee h s aa n
ऐ	ei
ऐ ं	ei N
ऐ क व	ai k a w
ऐ क ा य च ं	ai k aa y a c a N
ऐ क ा य च ं य	ai k aa y a c a N y
ऐ क ा य च ी	ai k aa y a c ii
ऐ क ा य च े	ai k aa y a c ee
ऐ झ व ा ल	ai jh a w aa l
ऐ ट	ai tx
ऐ त र ा ज ़	ei t r aa jq
ऐ र ो ल ी	ai r o l ii
ऐ ल ा न	ei l aa n
ऐ ं श ी	ai N sh ii
ऐ श ् व र ् य	ei sh w a r y
ऐ श ् व र ् य व ा न ्	ei sh w r y a w aa n
ऐ स ा	ei s aa
ऐ स ी	ei s ii
ऐ स े	ei s ee
ऐ स े ऐ स े	ei s ee ei s ee
ऑ इ ल	ax i l
ऑ ट ो	ax tx o
ऑ ड ि श न	ax dx i sh a n
ऑ ड ी	ax dx ii
ऑ न	ax n
ऑ न ल ा इ न	ax n a l aa i n
ऑ प	ax p
ऑ प र े ट ि व	ax p a r ee tx i w
ऑ प र े ट ि व ् ह	ax p a r ee tx i w h
ऑ प र े श न	ax p r ee sh a n
ऑ प र ् च ् य ु न ि ट ी ज	ax p a r c y u n i tx ii j
ऑ प ् श न	ax p sh a n
ऑ प ् श न ् स	ax p sh a n s
ऑ फ	ax ph
ऑ फ र	ax ph a r
ऑ फ र ् स	ax ph a r s
ऑ फ ि श ि य ल	ax ph i sh i y a l
ऑ फ ि स	ax ph i s
ऑ र ब ि ं द ो	ax r a b i N d o
ऑ र े ं ज	ax r ee N j
ऑ र ् ग े न ा इ ज र	ax r g ee n aa i j a r
ऑ र ् ड र	ax r dx a r
ऑ ल	ax l
ऑ ल क ा र ् ग ो	ax l a k aa r g o
ऑ ल ि म ् प ि य ा	ax l i m p i y aa
ऑ स ् ट ् र े ल ि य ा	ax s tx r ee l i y aa
ओ	o
ओ ए ल ए क ् स	o ee l a ee k s
ओ ं क ा र े श ् व र	o N k aa r ee sh w a r
ओ ख ा	o kh aa
ओ झ र	o jh a r
ओ झ ल	o jh a l
ओ झ ा	o jh aa
ओ ड ि श ा	o dx i sh aa
ओ ढ ण ी	o dxh a nx ii
ओ ण म	o nx a m
ओ प न	o p a n
ओ प ् प ो	o p p o
ओ ब ा म ा	o b aa m aa
ओ ब े र ॉ य	o b ee r ax y
ओ र	o r
ओ र ि ए ं ट	o r i ee N tx
ओ र ि ए ं ट ल	o r i ee N tx a l
ओ र ि स ा	o r i s aa
ओ ल ा	o l aa
ओ व र स ी ज	o w a r a s ii j
ओ स ा र े	o s aa r ee
ओ स ् व ा ल	o s w aa l
ओ ह	o h
औ ं ध च ् य ा	au N dh a c y aa
औ ं ध े	ou N dh ee
औ र	ou r
औ र ं ग ा ब ा द	au r a N g aa b aa d
औ र त	ou r a t
औ र त ो ं	ou r t o N
औ स त	ou s a t
औ स ा न	ou s aa n
क ई	k a ii
क ं क ड़	k a N k a dxq
क क ड ़ ि य ो ं	k a k dxq i y o N
क क ् ष ा	k a k sx aa
क ं ग ा ल	k a N g aa l
क च ह र ी	k a c ei h ei r ii
क च ह र ी द र ब ा र	k a c ei h ei r ii d r a b aa r
